date,fullVisitorId,channel,campaign,source,medium,device_category,country,totals_hits,totals_pageviews,totals_timeOnSite,revenue_usd,lead,customer
2017-08-13,sample_000000,Paid Search,partner launch,paid_search,paid,mobile,Australia,2,1,48,0.0,0,0
2018-03-05,sample_000001,Organic Search,partner launch,organic_search,organic,desktop,India,12,12,644,0.0,1,0
2018-03-18,sample_000002,Organic Search,summer remarketing,organic_search,organic,mobile,Canada,3,1,49,0.0,0,0
2017-11-19,sample_000003,Organic Search,summer remarketing,organic_search,organic,tablet,United Kingdom,7,1,11,0.0,1,0
2017-08-23,sample_000004,Paid Search,partner launch,paid_search,paid,mobile,United Kingdom,3,2,40,0.0,0,0
2018-02-02,sample_000005,Social,(not set),social,referral,mobile,United Kingdom,4,1,54,0.0,0,0
2017-09-21,sample_000006,Referral,brand,referral,referral,desktop,United Kingdom,4,2,28,0.0,0,0
2018-07-26,sample_000007,Direct,brand,direct,referral,tablet,India,9,1,51,0.0,1,0
2017-12-17,sample_000008,Paid Search,brand,paid_search,paid,tablet,United States,6,1,54,0.0,1,0
2018-01-09,sample_000009,Referral,content syndication,referral,referral,desktop,Australia,17,12,287,0.0,1,0
2018-06-26,sample_000010,Organic Search,partner launch,organic_search,organic,desktop,United Kingdom,9,1,39,0.0,1,0
2018-05-26,sample_000011,Paid Search,(not set),paid_search,paid,desktop,United States,18,11,163,0.0,1,0
2017-10-21,sample_000012,Organic Search,content syndication,organic_search,organic,mobile,Germany,7,1,29,0.0,1,0
2018-05-11,sample_000013,Paid Search,summer remarketing,paid_search,paid,mobile,Australia,15,11,857,0.0,1,0
2018-03-11,sample_000014,Organic Search,partner launch,organic_search,organic,desktop,India,15,7,850,0.0,1,0
2018-06-17,sample_000015,Social,partner launch,social,referral,desktop,India,3,1,28,0.0,0,0
2018-04-29,sample_000016,Social,summer remarketing,social,referral,mobile,United Kingdom,2,2,12,0.0,0,0
2017-12-02,sample_000017,Organic Search,brand,organic_search,organic,mobile,Germany,8,1,9,0.0,1,0
